Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6",CP_Elec_6.3x7.7,5,47uF,C369909
"C10, C100, C11, C110, C12, C120, C13, C130, C20, C21, C22, C23, C30, C31, C32, C33, C40, C41, C42, C43, C5, C50, C60, C61, C62, C63, C80, C81, C82, C83, C84, C85, C90, C92, C94, C96, C98",0603,37,100nF,C14663
"C101, C111, C121",CP_EIA-3216-10_Kemet-I_HandSolder,3,4.7uF,C7189
C7,0603,1,10nF,C57112
C70,CP_EIA-3528-15_AVX-H_HandSolder,1,10uF,C7194
C71,CP_EIA-3528-15_AVX-H_HandSolder,1,22uF,C696813
"C91, C93, C95, C97",0603,4,100nF,C57112
D1,D_SMA_Handsoldering,1,SS24,C43381
D2,0805,1,LED (green),C965821
F1,2920,1,ASMDC185F/33-2,C135379
J1,TE_5749721-7,1,5749721-7,C591675
J2,TE_5749721-7,1,5787082-7,C591676
J3,PinHeader_1x03_P2.54mm_Vertical,1,TO-LED,C6332196
J4,PinHeader_1x03_P2.54mm_Vertical,1,TO-MB,C6332196
J5,PinHeader_1x03_P2.54mm_Vertical,1,TO-A3000-LED,C6332196
J6,PinHeader_1x03_P2.54mm_Vertical,1,TO-A3000-MB,C6332196
J8,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,C6332199
"R104, R105, R106, R107, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R90, R91, R92, R93, R96, R97, R98, R99",0603,23,1K,C21190
"R108, R109, R110, R111, R112, R130, R81, R82, R83, R84",0603,10,10K,C25804
"R131, R132, R133",0603,3,33,C23140
"R134, R8",0603,2,0,C21189
R2,0603,1,120,C22787
R3,0603,1,2.2k,C4190
"R4, R7",0603,2,22,C23345
"U1, U2, U3, U4, U6",DGG56,5,SN74ABT16543DGGR,C2865087
"U10, U11, U12",TSSOP-20_4.4x6.5mm_P0.65mm,3,DS21S07A,C6602097
U13,SOIC-8_multi,1,W25X40CLSN,C19617
U5,TSSOP14_5P1X4P5_NEX,1,74LVC07APW_118,C6051
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U8,144-TQFP_XIL,1,XC95144XL-TQ144,C1521137
U9,PQFP-208_28x28mm_P0.5mm,1,LSI53C770 SCSI Host Controller,C9900193416
Y1,Oscillator_SMD_Fox_FT5H_5.0x3.2mm,1,Abracon ACO-50MHz,C7431196
